x	y	z	pcnt
150	-44.721	-70	0.5
150	-46.905	-69.498	0.5
150	-48.449	-68.333	0.5
150	-49.484	-66.522	0.5
150	-49.69	-64.444	3.636
150	-47.419	-54.115	3.636
150	-42.618	-43.852	3.636
150	-36.018	-35.32	3.636
150	-26.134	-27.373	3.636
150	-13.907	-21.973	3.636
150	0	-20	3.636
150	13.97	-21.973	3.636
150	26.134	-27.373	3.636
150	36.018	-35.32	3.636
150	42.618	-43.852	3.636
150	47.419	-54.145	3.636
150	49.69	-64.444	0.5
150	49.484	-66.522	0.5
150	49.448	-68.333	0.5
150	46.905	-69.498	0.5
150	44.721	-70	57
